Sample_Kit_ID,Sample_ID,Date,Median_Time_Unix,Median_Time_Local,Local_Timezone,Mean_DO_mg_per_L,DO_sd,Mean_DO_percent_saturation,DO_percent_saturation_sd,Mean_Temp_Deg_C,Temp_sd,Respiration_Rate_mg_per_L_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Sample_Latitude,Sample_Longitude,MiniDot_Latitude,MiniDot_Longitude,MiniDot_Start_Time,MiniDot_End_Time,MiniDot_ID,pH,Contact_First_Name,Contact_Last_Name,Organization,Email,Site_Name,Stream_Name,City,State,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,MiniDot_Sediment,Water_Temperature,Water_Depth_cm,Depositional_Type,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,MiniDot_Notes,Additional_Sampling_Notes,Hydrograph_Online,Hydrograph_Other
CM_004,CM_004-2,5/24/2022,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19,-4.957,0.965,0.954,0.009024792,30,5,0,7.963333333,42.7231,-73.1978,42.7231,-73.1978,9:57:00,11:11:00,449867,6.5,Jose,Constantine,Williams College,jac9@williams.edu,N/A,Hoosic River,Williamstown,Massachusetts,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),14,37,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Wrote the sensor number on the metadata sheet before taking the photo, but the sheet is in the box that will arrive with the samples",River width of 33.5 m; 50 ml RNAlater had leaked,https://waterdata.usgs.gov/nwis/uv?site_no=01332500,No
CM_004,CM_004-3,5/24/2022,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19,-2.73,0.941,0.926,0.005707206,61,6,0,8.086666667,42.7231,-73.1978,42.7231,-73.1978,9:57:00,11:11:00,449867,6.5,Jose,Constantine,Williams College,jac9@williams.edu,N/A,Hoosic River,Williamstown,Massachusetts,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),14,37,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Wrote the sensor number on the metadata sheet before taking the photo, but the sheet is in the box that will arrive with the samples",River width of 33.5 m; 50 ml RNAlater had leaked,https://waterdata.usgs.gov/nwis/uv?site_no=01332500,No
CM_005,CM_005-1,11/7/2022,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.337,0.986,0.984,2.69E-04,120,8,0,8.89,48.8186,-122.5806,48.8186,-122.5806,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),N/A,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,N/A
CM_005,CM_005-2,11/7/2022,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.502,0.949,0.936,9.69E-04,60,6,2,8.96,48.8186,-122.5806,48.8186,-122.5806,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),N/A,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,N/A
CM_005,CM_005-3,11/7/2022,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.711,0.973,0.964,0.001146542,30,5,3,9.086666667,48.8186,-122.5806,48.8186,-122.5806,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),N/A,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,N/A
CM_006,CM_006-1,5/15/2022,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-31.6,1,N/A,N/A,1,2,0,0.546666667,38.9746,-119.8218,38.9746,-119.8218,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No
CM_006,CM_006-2,5/15/2022,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-11.467,1,N/A,N/A,3,2,0,3.623333333,38.9746,-119.8218,38.9746,-119.8218,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No
CM_006,CM_006-3,5/15/2022,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-134.6,1,N/A,N/A,1,2,0,3.593333333,38.9746,-119.8218,38.9746,-119.8218,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No
CM_007,CM_007-1,5/15/2022,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-0.582,0.98,0.977,6.13E-04,85,7,1,8.89,39.0073,-121.5804,39.0073,-121.5804,17:40:00,18:18:00,8813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No
CM_007,CM_007-2,5/15/2022,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-0.484,0.979,0.974,5.85E-04,75,6,1,8.403333333,39.0073,-121.5804,39.0073,-121.5804,17:40:00,18:18:00,8813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No
CM_007,CM_007-3,5/15/2022,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-1.877,0.973,0.96,0.003684289,16,4,3,8.916666667,39.0073,-121.5804,39.0073,-121.5804,17:40:00,18:18:00,8813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No
CM_008,CM_008-1,6/17/2022,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-28.36,1,N/A,N/A,5,2,0,2.516666667,33.9485,-117.6118,33.9486,-117.6117,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A
CM_008,CM_008-2,6/17/2022,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-3.64,1,N/A,N/A,5,2,0,0.473333333,33.9485,-117.6118,33.9486,-117.6117,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A
CM_008,CM_008-3,6/17/2022,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-30.84,1,N/A,N/A,5,2,0,2.57,33.9485,-117.6118,33.9486,-117.6117,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A
CM_010,CM_010-1,6/6/2022,1654533720,11:42:00,Eastern Standard Time (UTC-5),6.36,0.07,77.85,1.05,25.62,0.11,-1.79,0.992,0.991,0.001161444,90,7,1,9.013333333,33.6666,-79.8467,33.6666,-79.8467,10:54:00,12:15:00,164227,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,N/A,Black River,Kingstree,South Carolina,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"Black River drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes
CM_010,CM_010-2,6/6/2022,1654533720,11:42:00,Eastern Standard Time (UTC-5),6.36,0.07,77.85,1.05,25.62,0.11,-1.108,0.999,0.998,2.83E-04,120,8,0,8.773333333,33.6666,-79.8467,33.6666,-79.8467,10:54:00,12:15:00,164227,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,N/A,Black River,Kingstree,South Carolina,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"Black River drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes
CM_010,CM_010-3,6/6/2022,1654533720,11:42:00,Eastern Standard Time (UTC-5),6.36,0.07,77.85,1.05,25.62,0.11,-1.535,0.993,0.992,9.42E-04,120,7,0,8.813333333,33.6666,-79.8467,33.6666,-79.8467,10:54:00,12:15:00,164227,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,N/A,Black River,Kingstree,South Carolina,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"Black River drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes
CM_011,CM_011-1,8/21/2022,1661117040,17:24:00,Eastern Daylight Time (UTC-4),8.49,0.06,102.7,0.71,24.95,0.02,-25.72,1,N/A,N/A,5,2,0,5.23,42.5055,-73.5062,33.684,-84.4153,16:45:00,17:48:00,755115,6.5,Kevin,Ryan,USGS,karyan@usgs.gov,N/A,Kinderhook Creek,East Nassau,New York,Partly cloudy,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively steep gradient (e.g., mountainous or hilly terrain)",Bedrock (primarily),N/A,40,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,sampled at Kinderhook Creek Fishing Access,N/A,N/A
CM_011,CM_011-2,8/21/2022,1661117040,17:24:00,Eastern Daylight Time (UTC-4),8.49,0.06,102.7,0.71,24.95,0.02,-22.08,1,N/A,N/A,5,2,0,5.15,42.5055,-73.5062,33.684,-84.4153,16:45:00,17:48:00,755115,6.5,Kevin,Ryan,USGS,karyan@usgs.gov,N/A,Kinderhook Creek,East Nassau,New York,Partly cloudy,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively steep gradient (e.g., mountainous or hilly terrain)",Bedrock (primarily),N/A,40,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,sampled at Kinderhook Creek Fishing Access,N/A,N/A
