Sample_Kit_ID,Sample_ID,Date,Median_Time_Unix,Median_Time_Local,Local_Timezone,Mean_DO_mg_per_L,DO_sd,Mean_DO_percent_saturation,DO_percent_saturation_sd,Mean_Temp_Deg_C,Temp_sd,Respiration_Rate_mg_DO_per_L_per_H,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,Type,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Site_ID,Sample_Latitude,Sample_Longitude,MiniDot_Latitude,MiniDot_Longitude,MiniDot_Start_Time,MiniDot_End_Time,MiniDot_ID,pH,Contact_First_Name,Contact_Last_Name,Organization,Email,Site_Name,Stream_Name,City,State,Country,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,MiniDot_Sediment,Water_Temperature,Water_Depth_cm,Depositional_Type,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,MiniDot_Notes,Additional_Sampling_Notes,Hydrograph_Online,Hydrograph_Other,Water_volume_Flag,Notes
CM_004,CM_004-2,2022-05-24,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19,-4.96,-17.87,Measured_10mL,0.965,0.954,0.00902479199255106,30,5,0,7.96333333333333,MP-100166,42.72306,-73.19778,42.72306,-73.19778,09:57:00,11:11:00,449867,6.5,Jose,Constantine,Williams College,jac9@williams.edu,N/A,Hoosic River,Williamstown,Massachusetts,USA,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),14,37,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Wrote the sensor number on the metadata sheet before taking the photo, but the sheet is in the box that will arrive with the samples",River width of 33.5 m; 50 ml RNAlater had leaked,https://waterdata.usgs.gov/nwis/uv?site_no=01332500,No,FALSE,NA
CM_004,CM_004-3,2022-05-24,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19,-2.73,-9.84,Measured_10mL,0.941,0.926,0.00570720593197548,61,6,0,8.08666666666667,MP-100166,42.72306,-73.19778,42.72306,-73.19778,09:57:00,11:11:00,449867,6.5,Jose,Constantine,Williams College,jac9@williams.edu,N/A,Hoosic River,Williamstown,Massachusetts,USA,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),14,37,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Wrote the sensor number on the metadata sheet before taking the photo, but the sheet is in the box that will arrive with the samples",River width of 33.5 m; 50 ml RNAlater had leaked,https://waterdata.usgs.gov/nwis/uv?site_no=01332500,No,FALSE,NA
CM_005,CM_005-1,2022-11-07,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.34,-1.16,Measured_10mL,0.986,0.984,2.6937219047524e-4,120,8,0,8.89,MP-102695,48.81862,-122.58061,48.81862,-122.58061,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,USA,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),NA,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,NA,FALSE,NA
CM_005,CM_005-2,2022-11-07,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.5,-1.8,Measured_10mL,0.949,0.936,9.685161375647e-4,60,6,2,8.96,MP-102695,48.81862,-122.58061,48.81862,-122.58061,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,USA,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),NA,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,NA,FALSE,NA
CM_005,CM_005-3,2022-11-07,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02,-0.71,-2.56,Measured_10mL,0.973,0.964,0.00114654162799793,30,5,3,9.08666666666667,MP-102695,48.81862,-122.58061,48.81862,-122.58061,13:31:00,14:48:00,164227,6.3,Kaatje,Kraft,Whatcom Community College,kkraft@whatcom.edu,"Slater Rd, #2529",Nooksack River,Bellingham,Washington,USA,Overcast,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),NA,16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,"people were fishing nearby with motor boats during our testing time, sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F",https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D,NA,FALSE,NA
CM_006,CM_006-1,2022-05-15,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-954.4,-3657.26,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,0.546666666666667,SP-23,38.9745676,-119.8217832,38.9745676,-119.8217832,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,USA,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No,FALSE,NA
CM_006,CM_006-2,2022-05-15,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-585.2,-2199.18,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,3.62333333333333,SP-23,38.9745676,-119.8217832,38.9745676,-119.8217832,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,USA,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No,FALSE,NA
CM_006,CM_006-3,2022-05-15,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71,-588.8,-2196.81,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,3.59333333333333,SP-23,38.9745676,-119.8217832,38.9745676,-119.8217832,12:00:00,13:02:00,441037,7.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,West Fork Carson River,N/A,Nevada,USA,"Sunny, 77 F",Perennial,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),-9999,32,Inside bend of stream,No coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,"No deviations from the protocol - however, i forgot a tape measure for the photographs, sorry!",N/A,No,FALSE,NA
CM_007,CM_007-1,2022-05-15,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-0.58,-2.13,Measured_10mL,0.98,0.977,6.1292695224908e-4,85,7,1,8.89,MP-103531,39.007299,-121.580361,39.007299,-121.580361,17:40:00,18:18:00,008813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,USA,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No,FALSE,NA
CM_007,CM_007-2,2022-05-15,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-0.48,-1.78,Measured_10mL,0.979,0.974,5.8487274219908e-4,75,6,1,8.40333333333333,MP-103531,39.007299,-121.580361,39.007299,-121.580361,17:40:00,18:18:00,008813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,USA,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No,FALSE,NA
CM_007,CM_007-3,2022-05-15,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47,-1.88,-6.94,Measured_10mL,0.973,0.96,0.00368428931846983,16,4,3,8.91666666666667,MP-103531,39.007299,-121.580361,39.007299,-121.580361,17:40:00,18:18:00,008813,6.5,Nick,Bouskill,LBNL,njbouskill@lbl.gov,N/A,Bear/Feather River,Yuba City,California,USA,"Sunny, ~90F",Perennial,"Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,-9999,34.3,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,N/A,Sensor deployment lasted less than an hour due to very aggressive mosquitos! Hope it is long enough to generate a reading.,https://water.weather.gov/ahps2/hydrograph.php?gage=yubc1&wfo=sto,No,FALSE,NA
CM_008,CM_008-1,2022-06-17,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-718,-2719.07,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,2.51666666666667,MP-103357,33.94849,-117.611779,33. 94862,-117.61174,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,USA,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A,FALSE,NA
CM_008,CM_008-2,2022-06-17,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-963.2,-3664.98,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,0.473333333333333,MP-103357,33.94849,-117.611779,33. 94862,-117.61174,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,USA,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A,FALSE,NA
CM_008,CM_008-3,2022-06-17,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39,-711.6,-2756.74,Theoretical,-9999,-9999,-9999,-9999,-9999,-9999,2.57,MP-103357,33.94849,-117.611779,33. 94862,-117.61174,10:45:00,11:40:00,755115,9.5,James,Guilinger,"University of California, Irvine",jguiling@uci.edu,Cucamonga Creek,Cucamonga Creek,Chino,California,USA,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28,6.5,Shallow waters near the shore,No coverage,No coverage,Full coverage,1-3 cm as described in the protocol,"river stage/flow is visibly higher than initial visit. Visible white bubbles on surface flow. Weather is similar to the initial visit (80s and sunny, light wind).","Sediment substrate surface very rich in dark green algae, with sandy textured material below algal/organic rich layer. Reach where sampling took place is effectively a partially natural flood conveyance channel: shallow sediment overlying concrete, pervasive rubbly material (cobble to boulder sized) placed across stream (see photos). Stream banks are natural sediment (as in CM_008-exposed photo) but inset within a large levee made of rip-rap and concrete. Upstream of site (~800m at Hellman Rd crossing), the stream is a flood conveyance channel lined 100% with concrete. Additionally, looks like some flow is siphoned off immediately upstream of sampling site (just below Hellman Rd crossing) to Mill Creek Wetlands as a form of stormwater/irrigation runoff treatment.","https://waterdata.usgs.gov/nwis/uv?site_no=11073495  [USGS gauge located a few kilometers upstream of site, but likely representative]",N/A,FALSE,NA
CM_009,CM_009-1,2023-04-16,1681666320,09:32:00,Pacific Standard Time (UTC-8),9.35,0.16,95.97,0.15,16.62,0.74,-4.71,-16.93,Measured_10mL,0.988,0.984,0.00501456155260238,30,5,2,8.94333333333333,SP-102600,37.7323106,-121.10824,37.7323106,-121.10824,08:55:00,09:54:00,085398,6.25,Nick,Bouskill,LBNL,njbouskill@lbl.gov,NA,Stanislaus River,Ripon,California,USA,"Sunny, 55 F",Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,12.4,12,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,NA,https://waterdata.usgs.gov/monitoring-location/11303000/#parameterCode=00065&period=P7D,NA,FALSE,NA
CM_009,CM_009-2,2023-04-16,1681666320,09:32:00,Pacific Standard Time (UTC-8),9.35,0.16,95.97,0.15,16.62,0.74,-4.27,-15.64,Measured_10mL,0.992,0.989,0.00378060144324353,30,5,2,8.53333333333333,SP-102600,37.7323106,-121.10824,37.7323106,-121.10824,08:55:00,09:54:00,085398,6.25,Nick,Bouskill,LBNL,njbouskill@lbl.gov,NA,Stanislaus River,Ripon,California,USA,"Sunny, 55 F",Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,12.4,12,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,NA,https://waterdata.usgs.gov/monitoring-location/11303000/#parameterCode=00065&period=P7D,NA,FALSE,NA
CM_009,CM_009-3,2023-04-16,1681666320,09:32:00,Pacific Standard Time (UTC-8),9.35,0.16,95.97,0.15,16.62,0.74,-3.69,-13.12,Measured_10mL,0.994,0.992,0.00239794470975513,60,6,0,8.27666666666667,SP-102600,37.7323106,-121.10824,37.7323106,-121.10824,08:55:00,09:54:00,085398,6.25,Nick,Bouskill,LBNL,njbouskill@lbl.gov,NA,Stanislaus River,Ripon,California,USA,"Sunny, 55 F",Perennial,"Broadleaf deciduous tree, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,12.4,12,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,NA,NA,https://waterdata.usgs.gov/monitoring-location/11303000/#parameterCode=00065&period=P7D,NA,FALSE,NA
