File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
hp_and_lp_sites_Nov-2023-log10-DO-update-correct.csv,"List of all sites as of Nov 2023 ranked by PCA distance",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
ICON-ModEx_Data_*.csv,"Duplicate copy of ICON-ModEx iteration training data for * iteration/branch. Duplicated here so they can be compared and looped over for generating hindcast runs",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
ICON-ModEx_Data_*.csv.out,"Reformatted version of ICON-ModEx iteration training data for * iteration/branch. This is the input to the hindcast runs. Reformatting is required due to changes in the ML model framework (normalization of data).",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
make_input_data.py,"Script that loops over all the ICON-ModEx_Data_*.csv in this directory and generated ICON-ModEx_Data_*.csv.out",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility
post_01_output_ml_predict_avg-Nov-2023-log10-DO-update-correct.csv,"Copy of Nov-2023 iteration postprocessing step 1 used as input to get_hp_and_lp_sites_*.ipynb",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
post_01_output_ml_predict_std-Nov-2023-log10-DO-update-correct.csv,"Copy of Nov-2023 iteration postprocessing step 1 used as input to get_hp_and_lp_sites_*.ipynb",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
README.md,"Explains the purpose of the ModEx_reproducibility directory which holds files for generating the hindcast ML runs",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility
cross_check_training_files.csh,"Script to check for no lost or duplicate data points in this train/test pairing",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
cross_check_training_files.ipynb,"Script to check for no lost or duplicate data points in this train/test pairing and visualization",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
hp_*.csv,"High priority sites based on combined metric where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
hp_*.csv.out,"High priority sites based on combined metric in format for training data input to ML workflow where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
hp_and_lp_sites_Nov-2023-log10-DO-update-correct.csv,"List of all sites as of Nov 2023 ranked by combined metric",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
lp_*.csv,"Low priority sites based on combined metric where the bottom 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
lp_*.csv.out,"Low priority sites based on combined metric in training data format for input to ML workflow where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
mp_084.csv,"Medium priority sites based on combined metric",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
mp_084.csv.out,"Medium priority sites based on combined metric in training data format for input to the ML workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
mp_084.csv.out.collab,"Medium priority sides based on combined metric in collaborator/candidate site (predict) format for the ML workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_combined_metric
hp_*.csv,"High priority sites based on ensemble spread where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
hp_*.csv.out,"High priority sites based on ensemble spread in training data format for the ML workflow where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
hp_and_lp_sites_Nov-2023-log10-DO-update-correct.csv,"List of all sites as of Nov 2023 ranked by ensemble spread",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
lp_*.csv,"Low priority sites based on ensemble spread where the bottom 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
lp_*.csv.out,"Low priority sites based on ensemble spread in training data format for input to ML workflow where the bottom 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
mp_084.csv,"Medium priority sites based on ensemble spread",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
mp_084.csv.out,"Medium priority sites based on ensemble spread in training data format for input to ML workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_ensemble_spread
hp_*.csv,"High priority sites based on PCA distance where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
hp_*.csv.out,"High priority sites based on PCA distance in training data format for input to ML workflow where the top 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
lp_*.csv,"Low priority sites based on PCA distance only where the bottom 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
lp_*.csv.out,"Low priority sites based on PCA distance only in training data format for input to ML workflow where the bottom 100 200 or 300 sites replace the *",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
mp_084.csv,"Medium priority sites based on PCA distance only",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
mp_084.csv.out,"Medium priority sites based on PCA distance only in training data format for input to the ML workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
mp_084.csv.out.collab,"Medium priority sites based on PCA distance only in collaborator/candidate/predict site format for input to the ML workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility/hp_lp_training_data_based_on_pca_dist
ICON-ModEx_Collaborator_Site_Water_Chemistry_Data.csv,"Example candidate sites used for ML automated workflow",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/input_data
ICON-ModEx_Data.csv,"Example ML workflow training data raw input (training input file for automated ML workflow)",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/input_data
ICON-ModEx_Sites_To_Remove.csv,"List of collaborator sites that have been sampled so they should not be included in the final ranking of candidate sites",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/input_data
README.md,"Placeholder in input_data to describe the purpose of this directory",N/A,-9999,-9999,/dynamic-learning-rivers/input_data
whondrs_25_inputs_train.csv,"Example ML workflow training data raw input (old format)",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/input_data
whondrs_25_inputs_train.csv.bkup,"Example training data raw input (very old format predates automation)",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/input_data
README.md,"Placeholder in ml_models to describe purpose of this directory",N/A,-9999,-9999,/dynamic-learning-rivers/ml_models
requirements.txt,"Specifiction of the Python packages used by the ML model for training and inference",N/A,-9999,-9999,/dynamic-learning-rivers/ml_models/sl_0
README.md,"Placeholder in output_data; otherwise git will not track an empty directory",N/A,-9999,-9999,/dynamic-learning-rivers/output_data
o2sat.py,"Script to compute saturated oxygen",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
post_01_flatten.py,"Post processing script to merge the results of the ensemble of ML models into avg and std statistics",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
post_01_output_ml_predict_avg.csv,"Example intermediate file output from post_01_flatten.py",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
post_01_output_ml_predict_std.csv,"Example intermediate file output from post_01_flatten.py",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
post_02_filter_sort.sh,"Post processing script to CONUS filter and sort sites by importance",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
post_02_output_ml_pred_avg_filtered.csv,"Example intermediate file output from post_02_filter_sort.sh",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
postprocess.sh,"Main postprocessing orchestration script (launches post_*.py series scripts after training is complete)",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
prep_01_intake_train.py,"Script to read in raw training data",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
prep_01_output_train.csv,"Example output from prep_01_intake_train.py",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_02_intake_predict.py,"Script to read in raw prediction/candidate site data",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
prep_02_output_predict.csv,"Example output from prep_02_intake_predict.py",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_03_output_colocated_train.csv,"Example intermediate file with training data that has been WHONDRS+RiverAtlas colocated",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_04_output_colocated_predict.csv,"Example intermediate file with data from sites where ML predictions will be made that have been RiverAtlas + GLORICH colocated",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_05_output_large_predict.csv,"Example intermediate file with inputs needed for making predictions across all sites",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_06_merge.py,"Preprocessing step 6 that generates prep_06_output_*.*",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
prep_06_output_final_predict.csv,"Example final predict set",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_06_output_final_predict.ixy,"Example final predict set ancilliary information (lon and lat not used in training) but in same order as prep_06_output_final_predict.csv for merging later if needed",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
prep_06_output_final_train.csv,"Example final training set",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/scripts
prep_06_output_final_train.ixy,"Example final training set ancilliary information (lon and lat not used in training) but in same order as prep_06_output_final_train.csv for merging later if needed",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
preprocess.sh,"Main ML workflow preprocessing orchestration script (launches prep_* series before training)",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
README_o2sat.md,"Attribution for o2sat.py",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
us.xy.gz,"Compressed file containing lon and lat coordinates of high resolution CONUS outline for sorting points inside and outside CONUS",N/A,-9999,-9999,/dynamic-learning-rivers/scripts
